# Networks tracked as first-class groups by scraper/networks.py.
# One row per network. networks.py resolves each network's shows to their RSS
# feed via the iTunes API, detects the delivery host, and writes:
#   data/network_feeds.csv  (always-checked watchlist feeds, read by cumulative.py)
#   data/networks.json      (per-network roster + host breakdown; the site reads this)
#
# Columns:
#   label       display name of the network
#   channel_id  Apple Podcasts channel id(s), ;-separated (blank if none). Every
#               show the channel page lists is discovered automatically.
#   extra_ids   ;-separated Apple SHOW ids always included (back catalog, etc.)
#   homepage    reference URL only (not fetched)
#   search      iTunes name-search term (artistTerm); keeps only shows whose
#               author credits the network. Used for networks with no Apple
#               channel. If channel_id/extra_ids/search are all blank, the label
#               is used as the search term. Prefix with '=' for STRICT mode:
#               the show's iTunes author must equal the term exactly. Use this
#               when a network name reduces to one common word (DAX, AMP,
#               Exchange, Marketing) or loose matching pulls in unrelated shows.
#               Use '-' to disable auto-resolution entirely (pinned roster only).
#
# Feed URLs + hosts are filled in by networks.py, which needs outbound network
# access, so it runs in GitHub Actions (.github/workflows/networks.yml).
label,channel_id,extra_ids,homepage,search
The Washington Post,6442482183,1444873564;1652580979;1734654238;1143265842;1692384254;1738047797;1532219705;1072170823;1254001472;1342503128;1709740516;1451109634,https://podcasts.apple.com/us/channel/the-washington-post/id6442482183,
The Boston Globe,6444069262,,https://podcasts.apple.com/us/channel/the-boston-globe/id6444069262,
Higher Ground,6446299158,,https://podcasts.apple.com/us/channel/higher-ground/id6446299158,
Campside Media,6757933785,,https://podcasts.apple.com/us/channel/campside-media/id6757933785,
Understood.org,6448918883,,https://podcasts.apple.com/us/channel/understood-org/id6448918883,
DCP Entertainment,6442455235,,https://podcasts.apple.com/us/channel/dcp-entertainment/id6442455235,
Macmillan Podcasts,6442568515,,https://podcasts.macmillan.com/,
Defector,,1525039108;1597761181,https://defector.com/defector-podcasts,
Sony Music,6442475215,1676536478;1197924737,https://www.sonymusic.com/podcasts/,
Red Seat Ventures,,,,Red Seat
QCODE,6442456136,,,
Dear Media,6442523341,,,
Impact Theory,,,,Impact Theory
Bleav,,,,Bleav
Headgum,6442528555,,,
PAVE Studios,,,,PAVE Studios
Studio71,,,,Studio71
Forever Dog,,,,Forever Dog
Goat Rodeo,,,,Goat Rodeo
The Podglomerate,,,,Podglomerate
Starburns Audio,,,,Starburns
Snarled Entertainment,,,,Snarled
reVolver Podcasts,,,,reVolver
Rhapsody Voices,,,,Rhapsody Voices
Amaze Media Labs,,,,Amaze Media
Talkhouse,6442681085,,,
PodX Group,,,,PodX
Resonate Media Group,,,,Resonate Media
MoonBeam Media,,,,Moonbeam
YMH Studios,,,,YMH Studios
TWiT.tv,,,,TWiT
True Native Media,,,,True Native
AdLarge Media,,,,AdLarge
Podtrac / Authentic,,,,Authentic Podcasts
DAZN,,,,DAZN
Axios,,,,Axios
Run-A-Muck,,,,Runamuck
Nevermind Media,,,,Nevermind Media
Glassbox Media,,,,Glassbox
Pushkin Industries,6442453644,,,
Wavland,,,,Wavland
Gen-Z Media,,,,Gen-Z Media
GoKidGo,,,,GoKidGo
Starglow Media,,,,Starglow
Treefort Media,,,,Treefort
Prologue Projects,,,,Prologue Projects
Paper Kite Productions,,,,Paper Kite
WaitWhat,,,,WaitWhat
Snap Studios,,,,Snap Studios
Gemini XIII,,,,Gemini XIII
Believe Entertainment Group,,,,Believe Entertainment
PodcastOne,6741487591,,,
VAULT Studios,,,,VAULT Studios
Youth Inc.,,,,Youth Inc
Big Ten Network,6442466754,,,Big Ten
Penguin Random House Audio,,,,Penguin Random House
Frequency Media,,,,Frequency Media
ABF Creative,,,,ABF Creative
Immigrantly Media,,,,Immigrantly
CAKE MEDIA,,,,Cake Media
Ginni Media,,,,Ginni Media
editaudio,,,,editaudio
Cosmic Standard,,,,Cosmic Standard
iM Media,,,,iM Media
Platform Media,,,,Platform Media
ohitsBigRon Studios,,,,ohitsBigRon
Multitude Productions,6445900700,,,Multitude
Fixated,,,,Fixated
Engine Room Media,,,,Engine Room
Tumble Media,,,,Tumble Media
Foreign Policy,,,,Foreign Policy
Eurovision New Media,,,,Eurovision
Public Media Marketing,,,,Public Media Marketing
Gamut Podcast Network,,,,Gamut
Vox Media Podcast Network,6442474404,,,
Cumulus Podcast Network,6442481095,,,
The Athletic (NYT),,,,The Athletic
New York Times,6442505455,,,
Audacy,6442484180,,,
Crooked Media,6442482265,,,
Slate,6442584151,,,
Townsquare Media,,,,Townsquare
WBD / HBO Podcasts,,,,HBO
AARP,,,,AARP
Yahoo Sports,6442589575,,https://sports.yahoo.com/podcasts/,
iHeartPodcasts,6442482239,,,
Wondery,6442475667,,,Wondery
NPR,6769050772,,,
TED Audio Collective,6442503658,,,
Lemonada Media,6442462434,,,
NBC News,6442484493,,,
NBC Sports,6450793119,,,
Barstool Sports,6442492588,,,
CNN,6442481801,,,CNN
ESPN,6442507317,,,
The Wall Street Journal,6442484762,,,
Radiotopia,6442464744,,,
Team Coco,6442587655,,,Team Coco
Maximum Fun,6479720522,,,
SiriusXM Podcasts,6442465405,,,
Betches,6442484256,,,
Ramsey Network,6442683668,,,
WNYC Studios,6752671189,,,
Bloomberg,6442484579,,,
The Daily Wire,6442722236,,,
Fox News,6442473474,,,
The Atlantic,6445622590,,,
Earwolf,6442702189,,,Earwolf
The Ringer,,,,The Ringer
American Public Media,,,,American Public Media
Kast Media,,,,Kast Media
A24,,,,A24
Evergreen Podcasts,6472225085,,https://evergreenpodcasts.com/,
Jomboy Media,6448851759,,https://www.jomboymedia.com/,
The Volume,6466219813,,https://www.thevolume.com/,
Wave Sports + Entertainment,6470533446,,https://www.wavesports.com/,Wave Sports
Goalhanger,,,https://goalhanger.com/,Goalhanger
Salem Podcast Network,,,https://salempodcastnetwork.com/,Salem
Cineverse,,,https://cineverse.com/,Cineverse
Nova Entertainment,,,https://www.novaentertainment.com.au/,Nova Entertainment
GaS Digital Network,,,https://gasdigitalnetwork.com/,GaS Digital
All City Network,,,https://alwayscurious.com/,All City
Crowd Network,,,https://www.crowdnetwork.co.uk/,Crowd Network
PRX,,,https://www.prx.org/,PRX
Rumble,,,https://rumble.com/,=Rumble
KC Sports Network,,,,KC Sports
Marketing Podcast Network,,,https://marketingpodcasts.net/shows/,=Marketing Podcast Network
DAX,,,https://dax.global/,-
Ozen.fm,,,https://www.ozen.fm/,Ozen
JAMX,,,https://jamx.ai/,JAMX
AMP Sales,,,,-
The Podcast Exchange,,,https://thepodcastexchange.ca/,=The Podcast Exchange
Adelicious,,,https://adelicious.fm/,Adelicious
Amplitude Media Partners,,,https://amplitudemediapartners.com/,Amplitude
Huis Nederland BV,,,,Huis Nederland
TYT Network,6447208128,,https://tyt.com/,
